"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 01 12:12:45 GMT 2023","Sun Oct 01 12:12:45 GMT 2023","1","Surefire suite","Surefire test","my.company.SimpleTest","my.company.SimpleTest","simpleTestTwo","simpleTestTwo",""
"passed","Sun Oct 01 12:12:44 GMT 2023","Sun Oct 01 12:12:44 GMT 2023","18","Surefire suite","Surefire test","my.company.SimpleTest","my.company.SimpleTest","simpleTestOne","simpleTestOne",""
